ana_souza;ana.souza1@email.com;Ana@1234
bruno_lima;bruno.lima2@email.com;Bruno#5678
carla_mendes;carla.mendes3@email.com;Carla@9012
daniel_rocha;daniel.rocha4@email.com;Dan!34567
eduarda_alves;eduarda.alves5@email.com;Edu@78901
felipe_santos;felipe.santos6@email.com;Felipe#234
gabriela_costa;gabriela.costa7@email.com;Gabi@45678
henrique_dias;henrique.dias8@email.com;Henriq!890
isabela_freitas;isabela.freitas9@email.com;Isa#123456
joao_pereira;joao.pereira10@email.com;Joao@654321
karen_ribeiro;karen.ribeiro11@email.com;Karen!9876
lucas_martins;lucas.martins12@email.com;Lucas#4321
mariana_gomes;mariana.gomes13@email.com;Mari@87654
nicolas_teixeira;nicolas.teixeira14@email.com;Nico!11223
olivia_barros;olivia.barros15@email.com;Olivia#7788
pedro;pedro@;1234567
leticiapinto;leticiapinto@hotmail.com;1234567
diasfininho;fininhodobrado@hotmail.com;fininho
